Campaign ID,Day,Impressions,Avg. position,Search Impr. share
858854351,2019-04-01,248,0.0,40.68%
1047267041,2019-04-01,16810,0.0,11.32%
1673519245,2019-04-01,32230,0.0,27.49%
1673617654,2019-04-01,31540,0.0,19.12%
1673617657,2019-04-01,21888,0.0,58.29%
1673617660,2019-04-01,10748,0.0,56.20%
1724443877,2019-04-02,10966,0.0,14.12%
858853112,2019-04-03,8738,0.0,73.90%
1673617654,2019-04-03,34083,0.0,17.46%
1724443877,2019-04-03,11287,0.0,13.90%
858853112,2019-04-04,10029,0.0,74.10%
858854351,2019-04-04,203,0.0,30.29%
1047267041,2019-04-04,15152,0.0,10.63%
1435177634,2019-04-04,6058,0.0,19.35%
1673519245,2019-04-04,27671,0.0,26.00%
1673617654,2019-04-04,29672,0.0,15.94%
1673617657,2019-04-04,20120,0.0,54.46%
1695509740,2019-04-04,30,0.0,31.91%
858853112,2019-04-05,8829,0.0,76.42%
1724443877,2019-04-16,43443,0.0, --
1673617660,2019-04-16,5236,0.0, --
1673519245,2019-04-16,18876,0.0, --
1047267041,2019-04-16,9472,0.0, --
1695509740,2019-04-16,2,0.0, --
1673617657,2019-04-15,24129,0.0, --
858854351,2019-04-16,79,0.0, --
858853112,2019-04-16,6485,0.0, --
1724443877,2019-04-15,70930,0.0, --
1673617654,2019-04-16,15765,0.0, --
1347289330,2018-05-15,7,0.0,87.50%
1352572236,2018-05-15,121,0.0,< 10%
1359648687,2018-05-15,10,0.0,100.00%
858852374,2018-05-16,44354,0.0,33.24%
897396478,2018-05-16,137,0.0,42.34%
897396670,2018-05-16,43,0.0,39.19%
897396673,2018-05-16,12,0.0,38.46%
897397438,2018-05-16,117,0.0,22.40%
897400978,2018-05-16,20,0.0,< 10%
897401230,2018-05-16,219,0.0,77.78%
898306791,2018-05-16,376,0.0,63.36%
1012486970,2018-05-16,635,0.0,66.57%
1051618446,2018-05-16,6929,0.0,42.98%
1051846078,2018-05-16,112,0.0,52.94%
1352572236,2018-05-16,123,0.0,< 10%
1358962958,2018-05-16,2,0.0,100.00%
1401251883,2018-05-16,1,0.0, --
858852389,2018-05-17,840,0.0,23.30%
859238556,2018-05-17,4466,0.0,19.46%
897396670,2018-05-17,36,0.0,64.86%
897396673,2018-05-17,20,0.0,57.14%
897400978,2018-05-17,11,0.0,15.79%
897401230,2018-05-17,245,0.0,78.12%
898306518,2018-05-17,1243,0.0,61.81%
898306788,2018-05-17,346,0.0,66.19%
898307682,2018-05-17,1509,0.0,77.47%
1012486970,2018-05-17,690,0.0,74.71%
1013605111,2018-05-17,36678,0.0,62.64%
1013605138,2018-05-17,66973,0.0,50.66%
1051618446,2018-05-17,6548,0.0,47.46%
1051846078,2018-05-17,94,0.0,46.84%
1066540780,2018-05-17,24,0.0,71.43%
1347289327,2018-05-17,3,0.0,< 10%
1352572236,2018-05-17,143,0.0,< 10%
1358962955,2018-05-17,1,0.0,100.00%
1359648687,2018-05-17,0,0.0,< 10%
1401251883,2018-05-17,11,0.0,30.77%
858852374,2018-05-18,38544,0.0,29.96%
858852389,2018-05-18,631,0.0,16.35%
859238556,2018-05-18,3773,0.0,20.03%
897396673,2018-05-18,6,0.0,57.14%
897397438,2018-05-18,182,0.0,42.57%
897401230,2018-05-18,196,0.0,77.27%
898306518,2018-05-18,1360,0.0,68.25%
898306521,2018-05-18,417,0.0,72.09%
898306788,2018-05-18,334,0.0,64.63%
898306791,2018-05-18,280,0.0,80.91%
1012486970,2018-05-18,555,0.0,72.01%
1012486973,2018-05-18,226,0.0,71.43%
1013605111,2018-05-18,23702,0.0,57.94%
1013605138,2018-05-18,59999,0.0,49.53%
1051846078,2018-05-18,86,0.0,63.93%
1347289327,2018-05-18,2,0.0,50.00%
1358962958,2018-05-18,0,0.0,< 10%
1359648687,2018-05-18,1,0.0, --
1401251883,2018-05-18,26,0.0,25.32%
859238556,2018-05-19,3643,0.0,15.61%
897397561,2018-05-19,120,0.0,43.64%
898306518,2018-05-19,853,0.0,73.70%
898306521,2018-05-19,277,0.0,68.31%
898306788,2018-05-19,238,0.0,78.87%
898306791,2018-05-19,198,0.0,69.23%
1012486970,2018-05-19,386,0.0,71.90%
1012486973,2018-05-19,76,0.0,75.51%
1047422828,2018-05-19,239,0.0,10.11%
1051618446,2018-05-19,4193,0.0,46.17%
1051618497,2018-05-19,9062,0.0,31.65%
